,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,110,248,2498650.5333434446,362.7073354853387,6.045122258088979
1,2019-08-12,110,448,4368266.276371537,351.0213972084271,5.8503566201404515
2,2019-08-15,110,571,6083419.957756465,383.5431146746633,6.392385244577722
3,2019-08-16,110,576,6037126.893261248,377.32043082882797,6.288673847147133
4,2019-08-29,110,736,9715931.9112057,475.2358000046266,7.920596666743776
5,2019-09-04,110,523,5062373.155159094,348.4616320950811,5.807693868251351
6,2019-09-19,110,572,5904953.021507105,371.64039995499263,6.194006665916544
7,2019-09-20,110,745,8979807.786163284,433.92359772064185,7.232059962010697
8,2019-10-01,110,905,17638918.59356749,701.6586401861101,11.694310669768502
9,2019-10-08,110,675,7885136.448694905,420.54061059706163,7.009010176617694
10,2019-10-09,110,592,6215574.505659006,377.97412534412877,6.299568755735479
11,2019-10-22,110,571,5921906.734154026,373.3601443599736,6.222669072666227
12,2019-11-05,110,606,7130319.483516731,423.5833356544593,7.059722260907654
13,2019-11-07,110,406,4007147.5870800344,355.31357914995385,5.921892985832565
14,2019-11-14,110,593,6127446.088201734,371.9866090645235,6.199776817742059
15,2019-11-19,110,632,7328006.232366202,417.4180765271887,6.956967942119812
16,2019-11-22,110,486,4986544.617445902,369.3736753663631,6.156227922772718
17,2019-12-06,110,713,9322968.549578212,470.7249197542996,7.845415329238326
18,2019-12-26,110,328,3070430.5524085336,336.99847526435116,5.616641254405852
19,2019-12-30,110,564,6377292.725381929,407.06123779033595,6.784353963172266
