,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,110,247,3464471.9927880983,504.94328639826534,8.415721439971088
1,2019-08-12,110,447,5682095.284980446,457.6184122131903,7.6269735368865055
2,2019-08-15,110,570,6707175.07367186,423.6110572845385,7.060184288075642
3,2019-08-16,110,572,7386580.020003817,464.8896516086319,7.748160860143865
4,2019-08-29,110,733,10346249.058438597,508.13774366137716,8.468962394356286
5,2019-09-04,110,521,6125670.416072047,423.27089247330844,7.0545148745551405
6,2019-09-19,110,568,6949293.866166947,440.44820278522906,7.340803379753818
7,2019-09-20,110,740,9955520.2366624,484.3226061079005,8.072043435131675
8,2019-10-01,110,900,12787230.721938394,511.48922887753577,8.524820481292263
9,2019-10-08,110,668,7224871.687985694,389.3643424662949,6.489405707771581
10,2019-10-09,110,588,7082642.395878472,433.63116709460036,7.227186118243339
11,2019-10-22,110,568,7072453.018792539,448.25406457135813,7.470901076189302
12,2019-11-05,110,607,8473919.77744043,502.5718484149185,8.376197473581975
13,2019-11-07,110,404,4982940.288849147,444.0243821746765,7.400406369577941
14,2019-11-14,110,589,6869756.652557057,419.88325889992205,6.998054314998701
15,2019-11-19,110,624,8039425.62751308,463.81301697190844,7.730216949531807
16,2019-11-22,110,480,6116738.3283649925,458.7553746273744,7.64592291045624
17,2019-12-06,110,707,9042115.730005309,460.41890562969047,7.673648427161508
18,2019-12-26,110,326,4191616.978401374,462.87794853512105,7.714632475585351
19,2019-12-30,110,554,7940810.457978886,516.0093438397832,8.600155730663054
