,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,120,247,3351366.2967240745,488.4582456763833,8.140970761273055
1,2019-08-12,120,445,6066485.654386042,490.7718731638146,8.17953121939691
2,2019-08-15,120,568,6761105.297849268,428.5207583143902,7.14201263857317
3,2019-08-16,120,570,7341525.202145638,463.6752759249876,7.72792126541646
4,2019-08-29,120,731,10484822.653860439,516.352415237997,8.60587358729995
5,2019-09-04,120,520,6014801.72357618,416.40935009373555,6.9401558348955925
6,2019-09-19,120,568,7028322.356830224,445.4570507850142,7.424284179750236
7,2019-09-20,120,739,10532349.970888657,513.0779417482972,8.551299029138287
8,2019-10-01,120,897,12120632.77432184,486.44680030723106,8.107446671787184
9,2019-10-08,120,668,7329380.733341718,394.99656646751777,6.583276107791963
10,2019-10-09,120,587,7321366.746512363,449.0105670774192,7.4835094512903195
11,2019-10-22,120,569,6880818.443118669,435.34176441524096,7.255696073587349
12,2019-11-05,120,606,8567448.04836017,508.95730980357456,8.482621830059577
13,2019-11-07,120,403,5154130.992428666,460.41864944772203,7.673644157462034
14,2019-11-14,120,589,6654895.756862684,406.750844222507,6.779180737041783
15,2019-11-19,120,624,8236192.049682337,475.1649259432118,7.919415432386864
16,2019-11-22,120,478,6007938.740527354,452.4807419644032,7.54134569940672
17,2019-12-06,120,705,8962418.587771649,457.65541724791393,7.627590287465233
18,2019-12-26,120,326,4060138.1459921403,448.3588136678437,7.472646894464062
19,2019-12-30,120,551,8028471.193326289,524.5462122681423,8.742436871135705
