,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,110,248,2511889.9467738867,364.62918582201576,6.077153097033596
1,2019-08-12,110,451,4579645.776267244,365.5593080834163,6.092655134723604
2,2019-08-15,110,569,6393537.635682024,404.5120472487748,6.741867454146247
3,2019-08-16,110,576,6686780.225491209,417.92376409320053,6.9653960682200085
4,2019-08-29,110,735,11058015.46715286,541.6170841054462,9.026951401757437
5,2019-09-04,110,522,5233859.920116964,360.95585655979056,6.015930942663176
6,2019-09-19,110,572,6317580.194376938,397.60994230344363,6.626832371724061
7,2019-09-20,110,746,10310593.559559308,497.5621556891892,8.29270259481982
8,2019-10-01,110,906,23952259.490367837,951.7454102132916,15.86242350355486
9,2019-10-08,110,676,9341848.278874747,497.49487875664335,8.291581312610722
10,2019-10-09,110,594,7025150.6333052395,425.76670504880235,7.096111750813373
11,2019-10-22,110,571,6467495.203025613,407.7580163028407,6.795966938380678
12,2019-11-05,110,606,7308832.2636785675,434.1880552680337,7.236467587800561
13,2019-11-07,110,406,4056499.037430379,359.68956982141293,5.994826163690216
14,2019-11-14,110,591,6812680.993412084,414.9856442687564,6.916427404479274
15,2019-11-19,110,632,8347655.126369838,475.4993426413199,7.9249890440219986
16,2019-11-22,110,484,4980105.561767321,370.4210748421974,6.1736845807032905
17,2019-12-06,110,711,10453483.208515558,529.2902890387624,8.821504817312706
18,2019-12-26,110,328,3384668.2208530908,371.4879754594856,6.191466257658093
19,2019-12-30,110,564,6388705.528205287,407.7897145662949,6.796495242771582
