,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,110,247,3429903.2967240745,499.90493393549264,8.331748898924877
1,2019-08-12,110,445,6487078.324135985,524.7973475705516,8.746622459509192
2,2019-08-15,110,568,6887750.784381731,436.5475849256027,7.275793082093378
3,2019-08-16,110,570,7433565.629854338,469.48835556974774,7.824805926162463
4,2019-08-29,110,731,10649626.302748185,524.4686004089393,8.741143340148989
5,2019-09-04,110,520,6118436.585378975,423.5840712954675,7.059734521591125
6,2019-09-19,110,568,7272767.484666854,460.9500518450823,7.682500864084705
7,2019-09-20,110,739,10955170.454052858,533.6754213070404,8.89459035511734
8,2019-10-01,110,897,12930051.646170171,518.9318386422811,8.648863977371352
9,2019-10-08,110,668,7605898.767671941,409.89873598232015,6.831645599705336
10,2019-10-09,110,587,7432876.173773596,455.84930537623416,7.597488422937236
11,2019-10-22,110,569,6984270.851636496,441.8870837590754,7.364784729317923
12,2019-11-05,110,606,8651479.100351261,513.9492534862135,8.565820891436891
13,2019-11-07,110,403,5328036.497667496,475.95363254597976,7.932560542432996
14,2019-11-14,110,588,6842593.942392294,418.9343230036099,6.982238716726831
15,2019-11-19,110,624,8525682.266414722,491.8662846008494,8.197771410014157
16,2019-11-22,110,478,6060417.794340761,456.43313932273514,7.607218988712252
17,2019-12-06,110,705,9356201.733794525,477.7634927895077,7.962724879825129
18,2019-12-26,110,326,4117664.1459921408,454.7113780850217,7.5785229680836945
19,2019-12-30,110,551,8048077.19332629,525.8271850449119,8.763786417415197
