,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,100,244,2536947.910514177,374.3037900758622,6.23839650126437
1,2019-08-12,100,447,5083353.793214998,409.397620930067,6.823293682167783
2,2019-08-15,100,568,6943643.38871923,440.090073932909,7.334834565548483
3,2019-08-16,100,572,7139410.5365367,449.33353027154055,7.488892171192343
4,2019-08-29,100,734,12678237.317672944,621.8209038640682,10.363681731067803
5,2019-09-04,100,520,5881202.5150834005,407.1601741211585,6.786002902019308
6,2019-09-19,100,570,6953654.284256732,439.17816532147776,7.319636088691296
7,2019-09-20,100,746,11689574.657483773,564.1081604147666,9.401802673579445
8,2019-10-01,100,903,28253331.83117828,1126.3786776549482,18.772977960915803
9,2019-10-08,100,675,10939895.926004779,583.4611160535882,9.724351934226469
10,2019-10-09,100,589,7534603.630145779,460.51906737733117,7.675317789622186
11,2019-10-22,100,569,7170628.361852777,453.6777170943761,7.561295284906268
12,2019-11-05,100,605,8055391.389467174,479.3290744145757,7.988817906909595
13,2019-11-07,100,403,4415512.337235486,394.4378266513089,6.573963777521815
14,2019-11-14,100,591,7634756.639439438,465.0613181384429,7.751021968974048
15,2019-11-19,100,631,9303808.045499805,530.8036285863598,8.846727143105996
16,2019-11-22,100,482,5718806.832530346,427.13080076990127,7.118846679498355
17,2019-12-06,100,707,11834904.821358375,602.6259880748254,10.043766467913757
18,2019-12-26,100,328,3526594.333628981,387.0652317397662,6.45108719566277
19,2019-12-30,100,559,6879703.106184325,443.0578029027472,7.384296715045787
