,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,100,247,3516132.296724074,512.4727234091768,8.541212056819612
1,2019-08-12,100,445,6629207.102931947,536.2954060798878,8.93825676799813
2,2019-08-15,100,568,7133706.8002093565,452.13634649214237,7.5356057748690395
3,2019-08-16,100,570,7773881.501089079,490.98198954246817,8.183033159041136
4,2019-08-29,100,731,11360892.328701716,559.4967494299067,9.324945823831778
5,2019-09-04,100,520,6256628.472990781,433.15120197628477,7.219186699604746
6,2019-09-19,100,568,7445421.78990111,471.8929303458451,7.864882172430752
7,2019-09-20,100,739,11404859.847490111,555.581805831724,9.259696763862065
8,2019-10-01,100,897,14720113.673473332,590.7737929153177,9.846229881921962
9,2019-10-08,100,668,8096814.661270622,436.355281146321,7.27258801910535
10,2019-10-09,100,587,7715785.991371758,473.199822298779,7.88666370497965
11,2019-10-22,100,569,7358243.44521852,465.5479156904512,7.759131928174186
12,2019-11-05,100,606,8979418.13026077,533.4307800154912,8.890513000258187
13,2019-11-07,100,403,5416357.497667496,483.8433496675679,8.064055827792798
14,2019-11-14,100,588,7178375.942392295,439.49240463626296,7.324873410604383
15,2019-11-19,100,624,8965028.664201532,517.2131921654731,8.62021986942455
16,2019-11-22,100,478,6247833.026975869,470.54809408186463,7.842468234697744
17,2019-12-06,100,705,9957238.482488241,508.45473102067615,8.47424551701127
18,2019-12-26,100,326,4161050.6467827116,459.5025254115877,7.658375423526462
19,2019-12-30,100,551,8295832.565698495,542.0144689022611,9.033574481704353
