,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,120,248,2331301.1721129348,338.41468627445823,5.640244771240971
1,2019-08-12,120,448,3951625.119926176,317.5413042797821,5.292355071329701
2,2019-08-15,120,571,5774639.738360024,364.075360036709,6.067922667278483
3,2019-08-16,120,576,5692076.6745431535,355.75479215894705,5.929246535982451
4,2019-08-29,120,737,8207200.373184696,400.89445513520906,6.681574252253484
5,2019-09-04,120,523,4792429.155159095,329.8804007375285,5.498006678958808
6,2019-09-19,120,572,5494339.021507105,345.7975607941534,5.763292679902557
7,2019-09-20,120,745,7644856.607631192,369.4158897647287,6.156931496078812
8,2019-10-01,120,905,14395390.143433947,572.6343040482012,9.54390506747002
9,2019-10-08,120,677,6978916.559922921,371.10930008452755,6.185155001408792
10,2019-10-09,120,592,5926880.3181356685,360.41839772446633,6.006973295407772
11,2019-10-22,120,571,5569779.9765168475,351.15950815167514,5.852658469194585
12,2019-11-05,120,606,6579316.897453883,390.8505087596366,6.514175145993944
13,2019-11-07,120,406,3838907.5870800344,340.3957466376385,5.673262443960642
14,2019-11-14,120,593,5556253.088201732,337.3104741572721,5.621841235954535
15,2019-11-19,120,633,6453554.768250473,367.02681146448185,6.117113524408031
16,2019-11-22,120,486,4598113.349024749,340.6009888166481,5.676683146944135
17,2019-12-06,120,713,8036915.830651363,405.79098163176593,6.763183027196098
18,2019-12-26,120,328,2860402.049999357,313.9465664633441,5.232442774389068
19,2019-12-30,120,566,5535551.36941157,352.0845393972023,5.8680756566200385
