,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,120,248,2253853.852285076,327.1723333962207,5.4528722232703455
1,2019-08-12,120,450,4296070.268691661,343.6856214953329,5.728093691588882
2,2019-08-15,120,569,6112692.4755874695,386.743284922933,6.445721415382217
3,2019-08-16,120,576,6333902.940139491,395.8689337587182,6.5978155626453034
4,2019-08-29,120,735,10137488.27205177,496.5300378147806,8.275500630246343
5,2019-09-04,120,522,5150871.834067495,355.2325402805169,5.920542338008615
6,2019-09-19,120,572,6000510.018212697,377.6544766707292,6.294241277845487
7,2019-09-20,120,746,9485923.743553553,457.7657570615655,7.629429284359426
8,2019-10-01,120,906,21729011.44238498,863.4044281742375,14.39007380290396
9,2019-10-08,120,677,9108828.261889119,484.3690065406326,8.07281677567721
10,2019-10-09,120,593,6505231.311709489,394.92129379686617,6.582021563281103
11,2019-10-22,120,570,6107099.856868094,385.71156990745857,6.4285261651243095
12,2019-11-05,120,606,6740446.2636785675,400.4225503175387,6.673709171958978
13,2019-11-07,120,406,3843465.3406207995,340.79988241957824,5.679998040326304
14,2019-11-14,120,592,6142917.789207268,373.5558115058474,6.225930191764123
15,2019-11-19,120,633,7665072.64340799,435.9283019947672,7.265471699912786
16,2019-11-22,120,484,4930692.2631555535,366.7457055239668,6.112428425399447
17,2019-12-06,120,711,9482142.378241599,480.1084748476759,8.001807914127932
18,2019-12-26,120,328,3001310.194781797,329.41209454922165,5.490201575820361
19,2019-12-30,120,563,6006094.1444156235,384.04864866600786,6.400810811100131
