,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,100,247,2599519.723142455,378.8773685551756,6.314622809252927
1,2019-08-12,100,448,5419226.062213648,435.4735228564539,7.257892047607565
2,2019-08-15,100,571,6665846.930613898,420.2635542943964,7.004392571573273
3,2019-08-16,100,576,6953549.514808666,434.5968446755416,7.24328074459236
4,2019-08-29,100,736,11104768.096060932,543.1680046986326,9.052800078310543
5,2019-09-04,100,523,5711177.616605785,393.1212126153122,6.552020210255203
6,2019-09-19,100,572,6927281.889169282,435.9827762414234,7.266379604023723
7,2019-09-20,100,745,10954954.374193143,529.3669227798028,8.822782046330047
8,2019-10-01,100,903,23717036.413783543,945.5296909149586,15.758828181915977
9,2019-10-08,100,677,10008887.293754762,532.2303435379193,8.87050572563199
10,2019-10-09,100,591,6761352.253542343,411.8590205203458,6.86431700867243
11,2019-10-22,100,569,6890199.117867821,435.9352693202839,7.265587822004732
12,2019-11-05,100,606,7506946.003606979,445.95718833308786,7.4326198055514645
13,2019-11-07,100,405,4706449.743855422,418.35108834270426,6.972518139045071
14,2019-11-14,100,593,6969435.523559466,423.1023252076573,7.051705420127622
15,2019-11-19,100,632,8440092.564418409,480.76476632763087,8.012746105460515
16,2019-11-22,100,486,5322231.524516774,394.2393721864277,6.570656203107129
17,2019-12-06,100,711,10603821.24252731,536.9023413937879,8.948372356563132
18,2019-12-26,100,328,3268372.4256335325,358.7238028134364,5.978730046890607
19,2019-12-30,100,565,6874386.872583543,438.01403081948246,7.300233846991374
